subject_id,roi_name,bold_value
sub-082,Right_S1,1.328244
sub-083,Right_S1,0.744056
sub-084,Right_S1,-0.901188
sub-085,Right_S1,0.293036
sub-086,Right_S1,-2.241223
sub-087,Right_S1,-0.455746
sub-088,Right_S1,1.066977
sub-089,Right_S1,-0.010531
sub-090,Right_S1,0.230588
sub-091,Right_S1,-2.878702
sub-092,Right_S1,-0.275509
sub-093,Right_S1,0.449189
sub-094,Right_S1,0.575194
sub-095,Right_S1,1.068294
sub-096,Right_S1,-0.094965
sub-097,Right_S1,-0.050718
sub-098,Right_S1,-1.207874
sub-099,Right_S1,-0.089274
sub-100,Right_S1,-1.137895
sub-101,Right_S1,-1.719513
sub-102,Right_S1,-0.962906
sub-103,Right_S1,1.610265
sub-104,Right_S1,-0.154787
sub-105,Right_S1,0.331739
sub-106,Right_S1,-0.395784
sub-107,Right_S1,-1.662651
sub-108,Right_S1,1.042261
sub-109,Right_S1,-2.041253
sub-110,Right_S1,-0.436751
sub-111,Right_S1,0.059437
sub-112,Right_S1,0.342267
sub-113,Right_S1,-0.607058
sub-114,Right_S1,-1.709683
sub-115,Right_S1,-0.681087
sub-116,Right_S1,-0.629169
sub-117,Right_S1,-0.65331
sub-118,Right_S1,1.075936
sub-119,Right_S1,-1.090305
sub-120,Right_S1,0.412194
sub-121,Right_S1,0.27065
sub-122,Right_S1,1.066409
sub-123,Right_S1,-0.018454
sub-124,Right_S1,0.898435
sub-125,Right_S1,-0.05723
sub-126,Right_S1,0.544543
sub-127,Right_S1,-1.377335
sub-128,Right_S1,-2.503615
sub-129,Right_S1,0.488151
sub-130,Right_S1,0.541359
sub-131,Right_S1,0.585325
sub-132,Right_S1,-0.407129
sub-133,Right_S1,1.591454
sub-134,Right_S1,-0.342593
sub-135,Right_S1,0.531137
sub-136,Right_S1,0.703508
sub-137,Right_S1,1.818644
sub-138,Right_S1,-0.200885
sub-139,Right_S1,-0.534366
sub-140,Right_S1,-1.372578
sub-141,Right_S1,1.653599
sub-142,Right_S1,0.531665
sub-143,Right_S1,0.563063
sub-144,Right_S1,3.205456
sub-145,Right_S1,0.436067
sub-146,Right_S1,-1.178316
sub-147,Right_S1,-0.080725
sub-148,Right_S1,-0.85339
sub-149,Right_S1,-0.279094
sub-150,Right_S1,-0.285762
sub-151,Right_S1,-0.468725
sub-152,Right_S1,-1.268552
sub-153,Right_S1,1.693413
sub-154,Right_S1,0.41008
sub-155,Right_S1,-0.110057
sub-156,Right_S1,0.865209
sub-157,Right_S1,0.580925
sub-158,Right_S1,0.387107
sub-159,Right_S1,0.793149
sub-160,Right_S1,0.246482
sub-161,Right_S1,0.77849
sub-162,Right_S1,0.86072
sub-163,Right_S1,0.275036
sub-164,Right_S1,-0.10502
sub-165,Right_S1,1.631805
sub-166,Right_S1,-0.360473
sub-167,Right_S1,0.501808
sub-168,Right_S1,0.524222
sub-169,Right_S1,-0.491079
sub-170,Right_S1,-0.687762
sub-171,Right_S1,-0.237413
sub-172,Right_S1,-0.374674
sub-173,Right_S1,-1.332882
sub-174,Right_S1,-0.532682
sub-001,Right_Mid_Insula,0.360214
sub-002,Right_Mid_Insula,1.390352
sub-003,Right_Mid_Insula,0.65715
sub-004,Right_Mid_Insula,-2.592738
sub-005,Right_Mid_Insula,0.746707
sub-006,Right_Mid_Insula,-0.489244
sub-007,Right_Mid_Insula,0.552756
sub-008,Right_Mid_Insula,0.071325
sub-009,Right_Mid_Insula,-0.11266
sub-010,Right_Mid_Insula,-0.019456
sub-011,Right_Mid_Insula,0.062784
sub-012,Right_Mid_Insula,1.471201
sub-013,Right_Mid_Insula,0.065632
sub-014,Right_Mid_Insula,1.204455
sub-015,Right_Mid_Insula,1.054394
sub-016,Right_Mid_Insula,0.773232
sub-017,Right_Mid_Insula,-1.755088
sub-018,Right_Mid_Insula,1.236498
sub-019,Right_Mid_Insula,-0.385943
sub-020,Right_Mid_Insula,0.823395
sub-021,Right_Mid_Insula,-0.916233
sub-022,Right_Mid_Insula,-1.135241
sub-023,Right_Mid_Insula,2.122413
sub-024,Right_Mid_Insula,-0.90021
sub-025,Right_Mid_Insula,1.266869
sub-026,Right_Mid_Insula,0.207914
sub-027,Right_Mid_Insula,-0.347012
sub-028,Right_Mid_Insula,0.039698
sub-029,Right_Mid_Insula,-1.254791
sub-030,Right_Mid_Insula,0.071718
sub-031,Right_Mid_Insula,-1.029793
sub-032,Right_Mid_Insula,-0.321585
sub-033,Right_Mid_Insula,1.039343
sub-034,Right_Mid_Insula,0.347815
sub-035,Right_Mid_Insula,-1.441377
sub-036,Right_Mid_Insula,0.963286
sub-037,Right_Mid_Insula,0.078575
sub-038,Right_Mid_Insula,-0.472791
sub-039,Right_Mid_Insula,0.855285
sub-040,Right_Mid_Insula,-0.086404
sub-041,Right_Mid_Insula,-1.115237
sub-042,Right_Mid_Insula,1.989922
sub-043,Right_Mid_Insula,0.068077
sub-044,Right_Mid_Insula,0.002029
sub-045,Right_Mid_Insula,-0.33154
sub-046,Right_Mid_Insula,1.301758
sub-047,Right_Mid_Insula,-0.454958
sub-048,Right_Mid_Insula,-1.506097
sub-049,Right_Mid_Insula,-0.613437
sub-050,Right_Mid_Insula,1.453034
sub-051,Right_Mid_Insula,0.943341
sub-052,Right_Mid_Insula,-0.176884
sub-053,Right_Mid_Insula,1.500929
sub-054,Right_Mid_Insula,0.85659
sub-055,Right_Mid_Insula,-0.18881
sub-056,Right_Mid_Insula,-0.085067
sub-057,Right_Mid_Insula,0.425228
sub-058,Right_Mid_Insula,-0.771307
sub-059,Right_Mid_Insula,0.090533
sub-060,Right_Mid_Insula,0.403791
sub-061,Right_Mid_Insula,-1.652403
sub-062,Right_Mid_Insula,-0.10919
sub-063,Right_Mid_Insula,-0.226386
sub-064,Right_Mid_Insula,1.145239
sub-065,Right_Mid_Insula,-1.814727
sub-066,Right_Mid_Insula,-0.307223
sub-067,Right_Mid_Insula,-0.410522
sub-068,Right_Mid_Insula,1.075173
sub-069,Right_Mid_Insula,0.041019
sub-070,Right_Mid_Insula,1.936633
sub-071,Right_Mid_Insula,0.768253
sub-072,Right_Mid_Insula,-0.336814
sub-073,Right_Mid_Insula,0.332841
sub-074,Right_Mid_Insula,-0.278951
sub-075,Right_Mid_Insula,0.971435
sub-076,Right_Mid_Insula,-1.286841
sub-077,Right_Mid_Insula,-0.762867
sub-078,Right_Mid_Insula,0.555445
sub-079,Right_Mid_Insula,1.348942
sub-080,Right_Mid_Insula,-2.183075
sub-081,Right_Mid_Insula,1.502182
sub-082,Right_Mid_Insula,-0.058508
sub-083,Right_Mid_Insula,-1.855303
sub-084,Right_Mid_Insula,-3.007168
sub-085,Right_Mid_Insula,-1.490029
sub-086,Right_Mid_Insula,0.065586
sub-087,Right_Mid_Insula,0.017988
sub-088,Right_Mid_Insula,0.738357
sub-089,Right_Mid_Insula,-0.480315
sub-090,Right_Mid_Insula,-1.055863
sub-091,Right_Mid_Insula,-0.339764
sub-092,Right_Mid_Insula,0.120524
sub-093,Right_Mid_Insula,0.323685
sub-094,Right_Mid_Insula,-0.727285
sub-095,Right_Mid_Insula,1.014765
sub-096,Right_Mid_Insula,-0.554413
sub-097,Right_Mid_Insula,-0.810289
sub-098,Right_Mid_Insula,-0.473004
sub-099,Right_Mid_Insula,1.193434
sub-100,Right_Mid_Insula,-0.050946
sub-101,Right_Mid_Insula,-0.629754
sub-102,Right_Mid_Insula,1.040176
sub-103,Right_Mid_Insula,2.293835
sub-104,Right_Mid_Insula,0.301953
sub-105,Right_Mid_Insula,1.357274
sub-106,Right_Mid_Insula,1.153492
sub-107,Right_Mid_Insula,-0.538176
sub-108,Right_Mid_Insula,0.113335
sub-109,Right_Mid_Insula,-1.235677
sub-110,Right_Mid_Insula,-0.125287
sub-111,Right_Mid_Insula,-0.559352
sub-112,Right_Mid_Insula,-0.329254
sub-113,Right_Mid_Insula,-0.686821
sub-114,Right_Mid_Insula,-0.209941
sub-115,Right_Mid_Insula,0.634317
sub-116,Right_Mid_Insula,-0.037237
sub-117,Right_Mid_Insula,-1.835208
sub-118,Right_Mid_Insula,-0.682932
sub-119,Right_Mid_Insula,-1.479738
sub-120,Right_Mid_Insula,0.337377
sub-121,Right_Mid_Insula,0.604522
sub-122,Right_Mid_Insula,0.350245
sub-123,Right_Mid_Insula,-0.725471
sub-124,Right_Mid_Insula,0.340255
sub-125,Right_Mid_Insula,-0.398527
sub-126,Right_Mid_Insula,-1.086967
sub-127,Right_Mid_Insula,0.850395
sub-128,Right_Mid_Insula,0.928808
sub-129,Right_Mid_Insula,1.063657
sub-130,Right_Mid_Insula,-0.540968
sub-131,Right_Mid_Insula,1.301136
sub-132,Right_Mid_Insula,-0.422709
sub-133,Right_Mid_Insula,0.759275
sub-134,Right_Mid_Insula,-0.440567
sub-135,Right_Mid_Insula,-0.144906
sub-136,Right_Mid_Insula,-2.408954
sub-137,Right_Mid_Insula,-0.225209
sub-138,Right_Mid_Insula,0.179752
sub-139,Right_Mid_Insula,-0.336635
sub-140,Right_Mid_Insula,1.895513
sub-141,Right_Mid_Insula,-1.111945
sub-142,Right_Mid_Insula,-0.494838
sub-143,Right_Mid_Insula,-0.846514
sub-144,Right_Mid_Insula,-0.49504
sub-145,Right_Mid_Insula,1.148686
sub-146,Right_Mid_Insula,1.608893
sub-147,Right_Mid_Insula,-0.636224
sub-148,Right_Mid_Insula,-0.659115
sub-149,Right_Mid_Insula,-1.106445
sub-150,Right_Mid_Insula,1.431921
sub-151,Right_Mid_Insula,1.241003
sub-152,Right_Mid_Insula,-0.023316
sub-153,Right_Mid_Insula,-1.352686
sub-154,Right_Mid_Insula,-1.260529
sub-155,Right_Mid_Insula,0.261712
sub-156,Right_Mid_Insula,0.651943
sub-157,Right_Mid_Insula,-2.043119
sub-158,Right_Mid_Insula,-0.245196
sub-159,Right_Mid_Insula,1.753425
sub-160,Right_Mid_Insula,-0.138237
sub-161,Right_Mid_Insula,1.620853
sub-162,Right_Mid_Insula,0.754685
sub-163,Right_Mid_Insula,-1.031379
sub-164,Right_Mid_Insula,-0.215686
sub-165,Right_Mid_Insula,-0.046719
sub-166,Right_Mid_Insula,-0.895602
sub-167,Right_Mid_Insula,-0.913487
sub-168,Right_Mid_Insula,1.638504
sub-169,Right_Mid_Insula,-0.921207
sub-170,Right_Mid_Insula,1.197139
sub-171,Right_Mid_Insula,-0.363874
sub-172,Right_Mid_Insula,0.059471
sub-173,Right_Mid_Insula,0.66483
sub-174,Right_Mid_Insula,-0.53088
sub-001,Left_Thalamus,0.673067
sub-002,Left_Thalamus,-1.947953
sub-003,Left_Thalamus,0.544543
sub-004,Left_Thalamus,-2.371132
sub-005,Left_Thalamus,-0.123716
sub-006,Left_Thalamus,0.960138
sub-007,Left_Thalamus,0.727598
sub-008,Left_Thalamus,-1.19802
sub-009,Left_Thalamus,-1.068945
sub-010,Left_Thalamus,-0.586723
sub-011,Left_Thalamus,0.290403
sub-012,Left_Thalamus,-1.933419
sub-013,Left_Thalamus,0.090453
sub-014,Left_Thalamus,0.415937
sub-015,Left_Thalamus,-0.18005
sub-016,Left_Thalamus,0.630375
sub-017,Left_Thalamus,0.328007
sub-018,Left_Thalamus,-0.439329
sub-019,Left_Thalamus,-1.83743
sub-020,Left_Thalamus,0.237465
sub-021,Left_Thalamus,-0.851802
sub-022,Left_Thalamus,-0.476111
sub-023,Left_Thalamus,0.58406
sub-024,Left_Thalamus,1.524669
sub-025,Left_Thalamus,0.065553
sub-026,Left_Thalamus,0.659193
sub-027,Left_Thalamus,-1.344463
sub-028,Left_Thalamus,0.349862
sub-029,Left_Thalamus,0.043652
sub-030,Left_Thalamus,1.336082
sub-031,Left_Thalamus,-0.43813
sub-032,Left_Thalamus,-0.138545
sub-033,Left_Thalamus,1.165233
sub-034,Left_Thalamus,0.011442
sub-035,Left_Thalamus,-1.007966
sub-036,Left_Thalamus,2.66187
sub-037,Left_Thalamus,-0.97764
sub-038,Left_Thalamus,0.038845
sub-039,Left_Thalamus,0.451286
sub-040,Left_Thalamus,0.372013
sub-041,Left_Thalamus,-0.086518
sub-042,Left_Thalamus,-0.081522
sub-043,Left_Thalamus,-0.131822
sub-044,Left_Thalamus,-1.015077
sub-045,Left_Thalamus,2.259429
sub-046,Left_Thalamus,-0.116843
sub-047,Left_Thalamus,0.702168
sub-048,Left_Thalamus,-0.231798
sub-049,Left_Thalamus,-0.25196
sub-050,Left_Thalamus,-0.352898
sub-051,Left_Thalamus,-1.450099
sub-052,Left_Thalamus,-0.057321
sub-053,Left_Thalamus,-0.304338
sub-054,Left_Thalamus,1.278231
sub-055,Left_Thalamus,-1.09605
sub-056,Left_Thalamus,-0.474912
sub-057,Left_Thalamus,-0.797027
sub-058,Left_Thalamus,1.54993
sub-059,Left_Thalamus,-0.767921
sub-060,Left_Thalamus,0.667449
sub-061,Left_Thalamus,1.076353
sub-062,Left_Thalamus,-0.042786
sub-063,Left_Thalamus,-1.276621
sub-064,Left_Thalamus,-1.263932
sub-065,Left_Thalamus,0.965674
sub-066,Left_Thalamus,-1.160107
sub-067,Left_Thalamus,0.49674
sub-068,Left_Thalamus,0.218352
sub-069,Left_Thalamus,0.481808
sub-070,Left_Thalamus,0.576502
sub-071,Left_Thalamus,-0.832348
sub-072,Left_Thalamus,-0.874312
sub-073,Left_Thalamus,0.820466
sub-074,Left_Thalamus,-0.527243
sub-075,Left_Thalamus,-2.653471
sub-076,Left_Thalamus,0.754125
sub-077,Left_Thalamus,-0.935201
sub-078,Left_Thalamus,0.572041
sub-079,Left_Thalamus,1.500095
sub-080,Left_Thalamus,0.120516
sub-081,Left_Thalamus,1.102023
sub-082,Left_Thalamus,0.257902
sub-083,Left_Thalamus,1.6952
sub-084,Left_Thalamus,-0.961113
sub-085,Left_Thalamus,0.095475
sub-086,Left_Thalamus,0.778594
sub-087,Left_Thalamus,-0.087188
sub-088,Left_Thalamus,1.258876
sub-089,Left_Thalamus,-0.329434
sub-090,Left_Thalamus,2.178374
sub-091,Left_Thalamus,2.231336
sub-092,Left_Thalamus,0.386504
sub-093,Left_Thalamus,0.657725
sub-094,Left_Thalamus,1.29843
sub-095,Left_Thalamus,-1.086523
sub-096,Left_Thalamus,-1.211645
sub-097,Left_Thalamus,1.363343
sub-098,Left_Thalamus,0.3784
sub-099,Left_Thalamus,-0.123374
sub-100,Left_Thalamus,0.114862
sub-101,Left_Thalamus,-2.288433
sub-102,Left_Thalamus,-0.087339
sub-103,Left_Thalamus,-0.651262
sub-104,Left_Thalamus,1.02413
sub-105,Left_Thalamus,1.101286
sub-106,Left_Thalamus,0.681866
sub-107,Left_Thalamus,0.500181
sub-108,Left_Thalamus,-1.397465
sub-109,Left_Thalamus,0.695864
sub-110,Left_Thalamus,0.734718
sub-111,Left_Thalamus,1.352088
sub-112,Left_Thalamus,2.227338
sub-113,Left_Thalamus,-1.593178
sub-114,Left_Thalamus,-0.28576
sub-115,Left_Thalamus,-0.640454
sub-116,Left_Thalamus,0.276659
sub-117,Left_Thalamus,0.117147
sub-118,Left_Thalamus,-0.13097
sub-119,Left_Thalamus,1.133943
sub-120,Left_Thalamus,-1.00052
sub-121,Left_Thalamus,-0.940073
sub-122,Left_Thalamus,-0.923134
sub-123,Left_Thalamus,-0.257538
sub-124,Left_Thalamus,-1.128021
sub-125,Left_Thalamus,0.055015
sub-126,Left_Thalamus,-0.062203
sub-127,Left_Thalamus,-0.684816
sub-128,Left_Thalamus,0.979712
sub-129,Left_Thalamus,0.044058
sub-130,Left_Thalamus,1.169076
sub-131,Left_Thalamus,-0.091838
sub-132,Left_Thalamus,0.079454
sub-133,Left_Thalamus,-0.460511
sub-134,Left_Thalamus,0.096646
sub-135,Left_Thalamus,0.817764
sub-136,Left_Thalamus,-0.308675
sub-137,Left_Thalamus,0.623448
sub-138,Left_Thalamus,-0.711115
sub-139,Left_Thalamus,0.864703
sub-140,Left_Thalamus,-0.477678
sub-141,Left_Thalamus,0.957569
sub-142,Left_Thalamus,0.164843
sub-143,Left_Thalamus,1.628554
sub-144,Left_Thalamus,-1.053308
sub-145,Left_Thalamus,-1.376241
sub-146,Left_Thalamus,-0.514082
sub-147,Left_Thalamus,-1.284441
sub-148,Left_Thalamus,-1.28256
sub-149,Left_Thalamus,0.726851
sub-150,Left_Thalamus,0.099521
sub-151,Left_Thalamus,-0.377197
sub-152,Left_Thalamus,-0.284241
sub-153,Left_Thalamus,-0.495054
sub-154,Left_Thalamus,1.758301
sub-155,Left_Thalamus,-0.633676
sub-156,Left_Thalamus,-1.221804
sub-157,Left_Thalamus,0.901797
sub-158,Left_Thalamus,-0.112597
sub-159,Left_Thalamus,2.147698
sub-160,Left_Thalamus,-0.423841
sub-161,Left_Thalamus,0.951858
sub-162,Left_Thalamus,1.188676
sub-163,Left_Thalamus,-0.418958
sub-164,Left_Thalamus,-0.64111
sub-165,Left_Thalamus,0.846973
sub-166,Left_Thalamus,0.680073
sub-167,Left_Thalamus,-1.310507
sub-168,Left_Thalamus,-1.027611
sub-169,Left_Thalamus,-2.439206
sub-170,Left_Thalamus,0.70062
sub-171,Left_Thalamus,-0.158786
sub-172,Left_Thalamus,-0.058854
sub-173,Left_Thalamus,-1.592059
sub-174,Left_Thalamus,-0.9972
sub-001,Left_Ant_Insula,-0.538514
sub-002,Left_Ant_Insula,-0.728712
sub-003,Left_Ant_Insula,0.044502
sub-004,Left_Ant_Insula,0.500147
sub-005,Left_Ant_Insula,2.150127
sub-006,Left_Ant_Insula,-0.090394
sub-007,Left_Ant_Insula,1.020673
sub-008,Left_Ant_Insula,-0.882978
sub-009,Left_Ant_Insula,-1.709829
sub-010,Left_Ant_Insula,-0.415552
sub-011,Left_Ant_Insula,-1.63426
sub-012,Left_Ant_Insula,-0.056448
sub-013,Left_Ant_Insula,-0.834522
sub-014,Left_Ant_Insula,-1.983163
sub-015,Left_Ant_Insula,1.627984
sub-016,Left_Ant_Insula,-0.596839
sub-017,Left_Ant_Insula,-1.673302
sub-018,Left_Ant_Insula,0.808101
sub-019,Left_Ant_Insula,-0.783794
sub-020,Left_Ant_Insula,0.995978
sub-021,Left_Ant_Insula,-0.788471
sub-022,Left_Ant_Insula,-0.600103
sub-023,Left_Ant_Insula,0.266629
sub-024,Left_Ant_Insula,0.509689
sub-025,Left_Ant_Insula,0.681195
sub-026,Left_Ant_Insula,-0.158623
sub-027,Left_Ant_Insula,0.446472
sub-028,Left_Ant_Insula,0.65883
sub-029,Left_Ant_Insula,0.125461
sub-030,Left_Ant_Insula,-0.210405
sub-031,Left_Ant_Insula,-1.485103
sub-032,Left_Ant_Insula,0.515517
sub-033,Left_Ant_Insula,-0.029537
sub-034,Left_Ant_Insula,-0.475551
sub-035,Left_Ant_Insula,1.179554
sub-036,Left_Ant_Insula,-1.468016
sub-037,Left_Ant_Insula,1.537969
sub-038,Left_Ant_Insula,-0.092602
sub-039,Left_Ant_Insula,0.239901
sub-040,Left_Ant_Insula,-0.457378
sub-041,Left_Ant_Insula,-1.702124
sub-042,Left_Ant_Insula,-0.207422
sub-043,Left_Ant_Insula,0.256759
sub-044,Left_Ant_Insula,0.590915
sub-045,Left_Ant_Insula,-0.264592
sub-046,Left_Ant_Insula,-2.216321
sub-047,Left_Ant_Insula,-1.579402
sub-048,Left_Ant_Insula,1.937201
sub-049,Left_Ant_Insula,-1.13991
sub-050,Left_Ant_Insula,1.325636
sub-051,Left_Ant_Insula,-0.984859
sub-052,Left_Ant_Insula,-0.249349
sub-053,Left_Ant_Insula,0.540992
sub-054,Left_Ant_Insula,-0.87341
sub-055,Left_Ant_Insula,1.487259
sub-056,Left_Ant_Insula,0.003298
sub-057,Left_Ant_Insula,0.38016
sub-058,Left_Ant_Insula,-0.332674
sub-059,Left_Ant_Insula,0.573786
sub-060,Left_Ant_Insula,1.474124
sub-061,Left_Ant_Insula,-0.199277
sub-062,Left_Ant_Insula,1.621807
sub-063,Left_Ant_Insula,-0.669285
sub-064,Left_Ant_Insula,0.676901
sub-065,Left_Ant_Insula,0.407817
sub-066,Left_Ant_Insula,-1.11647
sub-067,Left_Ant_Insula,0.138417
sub-068,Left_Ant_Insula,-0.063599
sub-069,Left_Ant_Insula,-0.9057
sub-070,Left_Ant_Insula,0.279517
sub-071,Left_Ant_Insula,0.072345
sub-072,Left_Ant_Insula,-0.141837
sub-073,Left_Ant_Insula,-0.137913
sub-074,Left_Ant_Insula,-0.158886
sub-075,Left_Ant_Insula,-0.43062
sub-076,Left_Ant_Insula,0.066028
sub-077,Left_Ant_Insula,-0.70091
sub-078,Left_Ant_Insula,2.52902
sub-079,Left_Ant_Insula,-1.449913
sub-080,Left_Ant_Insula,-0.643001
sub-081,Left_Ant_Insula,-0.565702
sub-082,Left_Ant_Insula,1.925922
sub-083,Left_Ant_Insula,-1.362627
sub-084,Left_Ant_Insula,0.345981
sub-085,Left_Ant_Insula,0.17226
sub-086,Left_Ant_Insula,0.255641
sub-087,Left_Ant_Insula,1.13902
sub-088,Left_Ant_Insula,1.118946
sub-089,Left_Ant_Insula,-0.512091
sub-090,Left_Ant_Insula,0.11905
sub-091,Left_Ant_Insula,-1.894928
sub-092,Left_Ant_Insula,0.026161
sub-093,Left_Ant_Insula,-0.847767
sub-094,Left_Ant_Insula,-0.253192
sub-095,Left_Ant_Insula,-1.720031
sub-096,Left_Ant_Insula,0.325382
sub-097,Left_Ant_Insula,-1.730987
sub-098,Left_Ant_Insula,0.074298
sub-099,Left_Ant_Insula,-1.271006
sub-100,Left_Ant_Insula,-0.902225
sub-101,Left_Ant_Insula,1.059159
sub-102,Left_Ant_Insula,0.504502
sub-103,Left_Ant_Insula,1.053749
sub-104,Left_Ant_Insula,1.455468
sub-105,Left_Ant_Insula,-0.82707
sub-106,Left_Ant_Insula,1.396015
sub-107,Left_Ant_Insula,-1.50488
sub-108,Left_Ant_Insula,0.659291
sub-109,Left_Ant_Insula,-0.553563
sub-110,Left_Ant_Insula,-0.981154
sub-111,Left_Ant_Insula,0.530484
sub-112,Left_Ant_Insula,0.853878
sub-113,Left_Ant_Insula,0.824831
sub-114,Left_Ant_Insula,0.139445
sub-115,Left_Ant_Insula,0.05832
sub-116,Left_Ant_Insula,0.44476
sub-117,Left_Ant_Insula,0.226442
sub-118,Left_Ant_Insula,0.458938
sub-119,Left_Ant_Insula,0.128817
sub-120,Left_Ant_Insula,0.753901
sub-121,Left_Ant_Insula,-1.663114
sub-122,Left_Ant_Insula,-0.199265
sub-123,Left_Ant_Insula,-1.424972
sub-124,Left_Ant_Insula,0.199961
sub-125,Left_Ant_Insula,1.535908
sub-126,Left_Ant_Insula,-0.534723
sub-127,Left_Ant_Insula,0.053716
sub-128,Left_Ant_Insula,0.669455
sub-129,Left_Ant_Insula,-2.094181
sub-130,Left_Ant_Insula,-0.581719
sub-131,Left_Ant_Insula,0.285891
sub-132,Left_Ant_Insula,-2.905667
sub-133,Left_Ant_Insula,-1.026665
sub-134,Left_Ant_Insula,1.00644
sub-135,Left_Ant_Insula,0.910678
sub-136,Left_Ant_Insula,0.295483
sub-137,Left_Ant_Insula,0.79247
sub-138,Left_Ant_Insula,0.139684
sub-139,Left_Ant_Insula,0.472676
sub-140,Left_Ant_Insula,-0.37969
sub-141,Left_Ant_Insula,0.042522
sub-142,Left_Ant_Insula,-0.689614
sub-143,Left_Ant_Insula,1.165578
sub-144,Left_Ant_Insula,1.418119
sub-145,Left_Ant_Insula,1.27951
sub-146,Left_Ant_Insula,-0.470162
sub-147,Left_Ant_Insula,-1.004124
sub-148,Left_Ant_Insula,1.178779
sub-149,Left_Ant_Insula,0.461435
sub-150,Left_Ant_Insula,0.25073
sub-151,Left_Ant_Insula,-0.690849
sub-152,Left_Ant_Insula,0.345728
sub-153,Left_Ant_Insula,-1.132808
sub-154,Left_Ant_Insula,0.549656
sub-155,Left_Ant_Insula,1.278506
sub-156,Left_Ant_Insula,1.525256
sub-157,Left_Ant_Insula,0.622521
sub-158,Left_Ant_Insula,-1.423187
sub-159,Left_Ant_Insula,0.122291
sub-160,Left_Ant_Insula,2.022983
sub-161,Left_Ant_Insula,-0.920788
sub-162,Left_Ant_Insula,-0.128719
sub-163,Left_Ant_Insula,1.312401
sub-164,Left_Ant_Insula,0.533091
sub-165,Left_Ant_Insula,2.356156
sub-166,Left_Ant_Insula,-0.787957
sub-167,Left_Ant_Insula,-1.039334
sub-168,Left_Ant_Insula,1.127064
sub-169,Left_Ant_Insula,-1.241036
sub-170,Left_Ant_Insula,-0.263354
sub-171,Left_Ant_Insula,-0.135045
sub-172,Left_Ant_Insula,0.942963
sub-173,Left_Ant_Insula,0.530287
sub-174,Left_Ant_Insula,0.376455
sub-001,Left_NAcc,-0.64901
sub-002,Left_NAcc,1.109334
sub-003,Left_NAcc,4.071476
sub-004,Left_NAcc,0.734844
sub-005,Left_NAcc,0.02073
sub-006,Left_NAcc,-1.04401
sub-007,Left_NAcc,-0.848528
sub-008,Left_NAcc,-0.461304
sub-009,Left_NAcc,-0.413354
sub-010,Left_NAcc,-0.447427
sub-011,Left_NAcc,1.963481
sub-012,Left_NAcc,1.330445
